subject_name,session_name,state,dwell_trials
GRB006,20230919_133340,1,24
GRB006,20230919_133340,2,15
GRB006,20230919_133340,0,8
GRB006,20230919_133340,2,35
GRB006,20230919_133340,0,12
GRB006,20230920_155219,2,12
GRB006,20230920_155219,1,1
GRB006,20230920_155219,2,23
GRB006,20230920_155219,3,2
GRB006,20230920_155219,0,82
GRB006,20230921_133636,0,134
GRB006,20230922_131609,0,154
GRB006,20230925_154539,0,70
GRB006,20230926_123033,0,146
GRB006,20230927_145701,2,5
GRB006,20230927_145701,1,17
GRB006,20230927_145701,0,157
GRB006,20230928_145546,0,234
GRB006,20230929_145546,0,198
GRB006,20231002_140748,2,1
GRB006,20231002_140748,0,149
GRB006,20231003_141126,0,218
GRB006,20231004_122636,0,231
GRB006,20231005_133120,0,230
GRB006,20231006_132453,0,287
GRB006,20231009_134122,0,223
GRB006,20231010_131131,0,174
GRB006,20231011_124016,0,216
GRB006,20231012_133025,0,32
GRB006,20231012_133025,1,15
GRB006,20231012_133025,0,131
GRB006,20231016_134002,0,81
GRB006,20231017_141854,0,172
GRB006,20231018_160206,0,163
GRB006,20231019_124131,0,173
GRB006,20231020_134744,0,147
GRB006,20231023_142912,0,36
GRB006,20231024_141355,0,75
GRB006,20231026_115451,0,68
GRB006,20231027_125224,0,100
GRB006,20231031_133131,0,24
GRB006,20231101_130616,1,12
GRB006,20231101_130616,0,13
GRB006,20231101_130616,2,2
GRB006,20231101_130616,1,20
GRB006,20231101_130616,0,92
GRB006,20231102_142814,0,17
GRB006,20231102_142814,1,5
GRB006,20231102_142814,0,4
GRB006,20231102_142814,1,22
GRB006,20231102_142814,0,13
GRB006,20231102_142814,1,31
GRB006,20231102_142814,0,72
GRB006,20231103_124436,1,13
GRB006,20231103_124436,0,7
GRB006,20231103_124436,1,77
GRB006,20231103_124436,0,2
GRB006,20231103_124436,1,96
GRB006,20231106_143523,0,39
GRB006,20231106_143523,1,30
GRB006,20231106_143523,0,12
GRB006,20231107_131358,1,22
GRB006,20231107_131358,0,45
GRB006,20231107_131358,1,8
GRB006,20231107_131358,2,6
GRB006,20231107_131358,1,15
GRB006,20231107_131358,2,15
GRB006,20231107_131358,1,17
GRB006,20231107_131358,2,3
GRB006,20231107_131358,0,6
GRB006,20231107_131358,1,17
GRB006,20231107_131358,0,2
GRB006,20231108_143210,1,78
GRB006,20231108_143210,2,4
GRB006,20231108_143210,1,13
GRB006,20231108_143210,2,16
GRB006,20231108_143210,0,7
GRB006,20231108_143210,1,49
GRB006,20231108_143210,0,6
GRB006,20231108_143210,1,16
GRB006,20231108_143210,2,2
GRB006,20231108_143210,1,29
GRB006,20231109_132341,1,9
GRB006,20231109_132341,0,110
GRB006,20231109_132341,1,12
GRB006,20231109_132341,0,42
GRB006,20231113_132100,0,107
GRB006,20231114_135633,0,193
GRB006,20231115_134443,2,22
GRB006,20231115_134443,0,1
GRB006,20231115_134443,1,18
GRB006,20231115_134443,2,19
GRB006,20231115_134443,1,89
GRB006,20231115_134443,0,9
GRB006,20231115_134443,1,3
GRB006,20231115_134443,0,11
GRB006,20231116_150200,1,71
GRB006,20231116_150200,2,17
GRB006,20231116_150200,1,118
GRB006,20231117_185904,1,69
GRB006,20231127_133022,2,2
GRB006,20231128_141426,2,80
GRB006,20231130_135215,2,10
GRB006,20231130_135215,1,29
GRB006,20231130_135215,2,3
GRB006,20231130_135215,1,27
GRB006,20231130_135215,2,83
GRB006,20231201_113419,1,38
GRB006,20231201_113419,2,3
GRB006,20231201_113419,1,18
GRB006,20231201_113419,2,4
GRB006,20231201_113419,1,18
GRB006,20231201_113419,2,3
GRB006,20231201_113419,1,11
GRB006,20231201_113419,0,30
GRB006,20231201_113419,1,38
GRB006,20231201_113419,2,4
GRB006,20231201_113419,0,5
GRB006,20231208_131651,2,108
GRB006,20231211_134311,2,16
GRB006,20231212_130030,2,88
GRB006,20231215_112543,1,3
GRB006,20231215_112543,2,139
GRB006,20240109_144700,2,9
GRB006,20240110_135431,0,1
GRB006,20240110_162338,1,7
GRB006,20240111_132629,2,113
GRB006,20240112_135518,2,111
GRB006,20240116_163044,2,11
GRB006,20240117_152600,2,91
GRB006,20240118_133404,2,143
GRB006,20240228_131618,0,6
GRB006,20240229_132420,2,9
GRB006,20240229_132420,0,13
GRB006,20240229_132420,1,6
GRB006,20240229_132420,2,60
GRB006,20240229_132420,0,29
GRB006,20240301_144326,2,123
GRB006,20240304_122108,2,22
GRB006,20240305_135034,2,85
GRB006,20240306_133858,0,14
GRB006,20240306_133858,1,27
GRB006,20240306_133858,2,5
GRB006,20240306_133858,1,16
GRB006,20240306_133858,2,26
GRB006,20240306_133858,1,19
GRB006,20240306_133858,2,18
GRB006,20240306_133858,1,55
GRB006,20240307_155109,1,4
GRB006,20240307_155109,2,63
GRB006,20240307_155109,1,21
GRB006,20240307_155109,0,29
GRB006,20240308_152123,0,31
GRB006,20240308_152123,1,1
GRB006,20240308_152123,0,12
GRB006,20240308_152123,1,42
GRB006,20240308_152123,0,62
GRB006,20240308_152123,1,26
GRB006,20240308_152123,0,24
GRB006,20240311_174310,2,109
GRB006,20240313_141512,2,222
GRB006,20240314_155950,2,346
GRB006,20240315_141855,2,6
GRB006,20240315_141855,0,42
GRB006,20240315_141855,2,55
GRB006,20240315_141855,0,144
GRB006,20240318_125437,3,2
GRB006,20240318_125437,2,1
GRB006,20240318_125437,0,152
GRB006,20240319_120110,2,53
GRB006,20240319_120110,1,1
GRB006,20240319_120110,0,88
GRB006,20240319_120110,2,31
GRB006,20240320_124113,2,210
GRB006,20240321_131913,2,181
GRB006,20240322_141501,2,64
GRB006,20240322_141501,0,160
GRB006,20240322_141501,2,81
GRB006,20240323_142335,2,6
GRB006,20240323_142335,0,287
GRB006,20240324_135731,0,217
GRB006,20240325_115618,2,35
GRB006,20240325_115618,0,215
GRB006,20240326_140658,0,61
GRB006,20240326_140658,1,10
GRB006,20240326_140658,0,260
GRB006,20240327_154217,0,158
GRB006,20240327_154217,2,68
GRB006,20240328_135035,0,311
GRB006,20240330_144712,2,16
GRB006,20240330_144712,1,2
GRB006,20240330_144712,2,1
GRB006,20240330_144712,0,430
GRB006,20240331_132807,0,261
GRB006,20240331_132807,1,20
GRB006,20240401_125219,2,25
GRB006,20240401_125219,0,150
GRB006,20240401_125219,1,34
GRB006,20240401_125219,2,1
GRB006,20240401_125219,1,4
GRB006,20240401_125219,2,4
GRB006,20240402_140646,2,65
GRB006,20240402_140646,0,213
GRB006,20240402_140646,1,22
GRB006,20240403_131227,0,235
GRB006,20240403_131227,1,26
GRB006,20240404_115105,0,170
GRB006,20240404_115105,1,12
GRB006,20240405_142239,0,315
GRB006,20240405_142239,1,31
GRB006,20240406_122407,0,164
GRB006,20240406_122407,1,14
GRB006,20240406_122407,0,4
GRB006,20240406_122407,2,18
GRB006,20240406_122407,1,7
GRB006,20240407_123014,2,13
GRB006,20240407_123014,1,24
GRB006,20240407_123014,2,5
GRB006,20240407_123014,1,6
GRB006,20240407_123014,0,73
GRB006,20240407_123014,1,39
GRB006,20240407_123014,2,15
GRB006,20240408_135314,0,65
GRB006,20240408_135314,1,339
GRB006,20240419_151040,2,15
GRB006,20240419_151040,1,13
GRB006,20240423_162658,0,42
GRB006,20240423_162658,1,4
GRB006,20240423_162658,0,135
GRB006,20240423_162658,1,32
GRB006,20240423_162658,0,2
GRB006,20240423_162658,2,9
GRB006,20240423_162658,0,79
GRB006,20240423_162658,1,12
GRB006,20240424_150511,0,3
GRB006,20240424_150511,1,4
GRB006,20240424_150511,0,56
GRB006,20240424_150511,1,13
GRB006,20240424_150511,0,24
GRB006,20240424_150511,1,29
GRB006,20240424_150511,0,118
GRB006,20240426_174044,0,11
GRB006,20240429_174359,2,23
GRB006,20240429_174359,1,13
GRB006,20240429_174359,0,274
GRB006,20240429_184502,0,73
GRB006,20240430_183206,0,297
GRB006,20240501_195113,0,418
GRB006,20240502_161058,2,3
GRB006,20240502_161058,0,1
GRB006,20240502_161058,1,15
GRB006,20240502_161058,0,327
GRB006,20240503_163955,0,349
GRB006,20240506_171411,1,20
GRB006,20240506_171411,0,47
GRB006,20240506_171411,2,106
GRB006,20240506_171411,1,18
GRB006,20240506_171411,0,195
GRB006,20240507_180829,3,2
GRB006,20240507_180829,0,445
GRB006,20240508_173227,0,322
GRB006,20240509_163637,3,2
GRB006,20240509_163637,0,446
GRB006,20240510_180411,0,415
GRB006,20240514_164132,2,21
GRB006,20240515_164745,1,14
GRB006,20240515_164745,2,57
GRB006,20240516_140225,2,10
GRB006,20240517_161352,0,474
GRB006,20240521_170727,0,604
GRB006,20240522_170215,1,11
GRB006,20240522_170215,0,258
GRB006,20240522_170215,2,41
GRB006,20240522_170215,0,350
GRB006,20240523_174600,1,11
GRB006,20240523_174600,2,30
GRB006,20240523_174600,0,416
GRB006,20240524_162152,0,470
GRB006,20240529_150103,0,382
GRB006,20240530_164626,0,31
GRB006,20240530_164626,1,16
GRB006,20240530_164626,0,432
GRB006,20240531_164435,0,25
GRB006,20240531_164435,1,17
GRB006,20240531_164435,0,358
GRB006,20240604_123410,0,365
GRB006,20240605_133531,0,348
GRB006,20240606_141045,0,399
GRB006,20240607_133855,0,297
GRB006,20240610_133557,1,37
GRB006,20240610_133557,2,2
GRB006,20240610_133557,1,73
GRB006,20240610_133557,2,118
GRB006,20240610_133557,1,22
GRB006,20240610_133557,0,10
GRB006,20240610_133557,1,15
GRB006,20240610_133557,2,6
GRB006,20240611_134554,0,457
GRB006,20240612_142350,1,13
GRB006,20240612_142350,0,432
GRB006,20240613_140011,0,381
GRB006,20240614_132538,1,16
GRB006,20240614_132538,0,411
GRB006,20240617_123448,1,13
GRB006,20240617_123448,0,11
GRB006,20240617_123448,1,24
GRB006,20240617_123448,0,93
GRB006,20240617_123448,1,52
GRB006,20240617_123448,0,99
GRB006,20240617_123448,1,1
GRB006,20240617_123448,0,18
GRB006,20240620_124808,0,371
GRB006,20240621_143838,1,13
GRB006,20240621_143838,0,43
GRB006,20240621_143838,1,19
GRB006,20240621_143838,0,122
GRB006,20240621_143838,1,20
GRB006,20240621_143838,0,78
GRB006,20240624_112117,0,322
GRB006,20240625_130638,1,11
GRB006,20240625_130638,0,454
GRB006,20240626_113043,1,16
GRB006,20240626_113043,0,2
GRB006,20240626_113043,1,3
GRB006,20240626_113043,0,15
GRB006,20240626_113043,1,24
GRB006,20240626_113043,0,28
GRB006,20240626_113043,1,22
GRB006,20240626_113043,2,15
GRB006,20240627_141852,1,12
GRB006,20240628_130506,0,343
GRB006,20240701_112146,2,11
GRB006,20240701_112146,1,18
GRB006,20240701_112146,0,380
GRB006,20240702_134736,0,259
GRB006,20240702_134736,1,38
GRB006,20240702_134736,0,21
GRB006,20240710_124222,2,12
GRB006,20240710_124222,1,10
GRB006,20240710_124222,0,220
GRB006,20240711_134140,1,13
GRB006,20240711_134140,0,35
GRB006,20240711_134140,1,15
GRB006,20240711_134140,0,144
GRB006,20240711_134140,1,21
GRB006,20240715_134530,1,3
GRB006,20240715_134530,0,225
GRB006,20240715_134530,1,21
GRB006,20240715_134530,0,15
GRB006,20240715_134530,1,18
GRB006,20240715_134530,0,4
GRB006,20240716_151257,1,7
GRB006,20240716_151257,0,346
GRB006,20240717_154846,0,116
GRB006,20240717_154846,1,11
GRB006,20240717_154846,2,12
GRB006,20240717_154846,1,11
GRB006,20240717_154846,0,28
GRB006,20240717_154846,1,13
GRB006,20240717_154846,0,128
GRB006,20240718_150828,0,268
GRB006,20240722_142540,2,1
GRB006,20240722_142540,1,26
GRB006,20240722_142540,0,250
GRB006,20240723_142451,0,397
GRB006,20240724_144439,2,1
GRB006,20240724_144439,1,10
GRB006,20240724_144439,2,8
GRB006,20240724_144439,0,19
GRB006,20240724_144439,1,14
GRB006,20240724_144439,0,155
GRB006,20240724_144439,1,11
GRB006,20240724_144439,0,16
GRB006,20240724_144439,1,30
GRB006,20240724_144439,2,9
GRB006,20240724_144439,0,3
GRB006,20240724_144439,1,5
GRB006,20240725_153628,1,34
GRB006,20240725_153628,0,9
GRB006,20240725_153628,1,15
GRB006,20240725_153628,0,73
GRB006,20240725_153628,1,51
GRB006,20240725_153628,0,130
GRB006,20240725_153628,1,28
GRB006,20240725_153628,0,8
GRB006,20240729_155308,2,5
GRB006,20240729_155308,1,40
GRB006,20240729_155308,0,252
GRB006,20240730_142934,1,59
GRB006,20240730_142934,0,7
GRB006,20240730_142934,1,15
GRB006,20240730_142934,0,32
GRB006,20240730_142934,1,61
GRB006,20240730_142934,0,27
GRB006,20240730_142934,1,20
GRB006,20240801_164225,0,180
GRB006,20240801_164225,1,23
GRB006,20240801_164225,0,67
GRB006,20240805_142718,1,28
GRB006,20240805_142718,2,5
GRB006,20240805_142718,1,22
GRB006,20240805_142718,2,7
GRB006,20240805_142718,1,41
GRB006,20240805_142718,0,209
GRB006,20240805_142718,1,22
GRB006,20240805_142718,0,2
GRB006,20240806_141817,1,14
GRB006,20240806_141817,0,335
GRB006,20240806_141817,1,11
GRB006,20240806_141817,0,23
GRB006,20240807_120640,3,2
GRB006,20240807_120640,0,250
GRB006,20240807_120640,1,24
GRB006,20240807_120640,0,112
GRB006,20240813_132409,1,13
GRB006,20240814_154434,0,7
GRB006,20240814_154434,1,21
GRB006,20240814_154434,0,84
GRB006,20240814_154434,1,17
GRB006,20240814_154434,0,142
GRB006,20240815_111040,0,312
GRB006,20240819_110829,1,18
GRB006,20240819_110829,2,5
GRB006,20240819_110829,1,71
GRB006,20240819_110829,2,4
GRB006,20240819_110829,1,295
GRB006,20240820_115126,1,101
GRB006,20240820_115126,2,3
GRB006,20240820_115126,1,101
GRB006,20240820_115126,2,2
GRB006,20240821_121447,2,14
GRB006,20240821_121447,1,72
GRB006,20240821_121447,2,1
GRB006,20240821_121447,1,13
GRB006,20240821_121447,2,7
GRB006,20240821_121447,1,11
GRB006,20240821_121447,2,9
GRB006,20240821_121447,0,49
GRB006,20240821_121447,1,17
GRB006,20240821_121447,2,5
GRB006,20240821_121447,1,52
GRB006,20240821_121447,2,4
GRB006,20240821_121447,1,36
GRB006,20240821_121447,2,4
GRB006,20240822_100914,1,63
