trial_index_decile,state,posterior_occupancy
1,0,0.59925234
2,0,0.71898955
3,0,0.7263994
4,0,0.75160724
5,0,0.74343675
6,0,0.7695193
7,0,0.76367027
8,0,0.7513924
9,0,0.7363655
10,0,0.6935306
1,1,0.19575813
2,1,0.13731869
3,1,0.12415044
4,1,0.1002952
5,1,0.10805533
6,1,0.10661499
7,1,0.107922785
8,1,0.117192864
9,1,0.1365987
10,1,0.1674667
1,2,0.20116027
2,2,0.14211847
3,2,0.1477544
4,2,0.14659332
5,2,0.14756449
6,2,0.1224338
7,2,0.12718019
8,2,0.13019997
9,2,0.12550609
10,2,0.13716985
1,3,0.0038292408
2,3,0.001573273
3,3,0.0016957099
4,3,0.0015042431
5,3,0.0009434278
6,3,0.0014318675
7,3,0.0012267255
8,3,0.0012147488
9,3,0.0015296488
10,3,0.0018328361
