subject_name,session_name,state,posterior_occupancy
GRB006,20230919_133340,0,0.15749209
GRB006,20230920_155219,0,0.34847352
GRB006,20230921_133636,0,0.7174373
GRB006,20230922_131609,0,0.7334626
GRB006,20230925_154539,0,0.7813764
GRB006,20230926_123033,0,0.717443
GRB006,20230927_145701,0,0.45680958
GRB006,20230928_145546,0,0.6251282
GRB006,20230929_145546,0,0.46964794
GRB006,20231002_140748,0,0.5763042
GRB006,20231003_141126,0,0.7610662
GRB006,20231004_122636,0,0.68549275
GRB006,20231005_133120,0,0.858839
GRB006,20231006_132453,0,0.5802034
GRB006,20231009_134122,0,0.6119009
GRB006,20231010_131131,0,0.7564173
GRB006,20231011_124016,0,0.6857265
GRB006,20231012_133025,0,0.6232368
GRB006,20231016_134002,0,0.5360061
GRB006,20231017_141854,0,0.61119574
GRB006,20231018_160206,0,0.7314293
GRB006,20231019_124131,0,0.6504545
GRB006,20231020_134744,0,0.67850393
GRB006,20231023_142912,0,0.33269697
GRB006,20231024_141355,0,0.55668694
GRB006,20231026_115451,0,0.6774197
GRB006,20231027_125224,0,0.46856195
GRB006,20231031_133131,0,0.43522635
GRB006,20231101_130616,0,0.3120588
GRB006,20231102_142814,0,0.18901964
GRB006,20231103_124436,0,0.07183124
GRB006,20231106_143523,0,0.112795584
GRB006,20231107_131358,0,0.12091286
GRB006,20231108_143210,0,0.021350328
GRB006,20231109_132341,0,0.48958635
GRB006,20231113_132100,0,0.51849735
GRB006,20231114_135633,0,0.2780398
GRB006,20231115_134443,0,0.07729702
GRB006,20231116_150200,0,0.027240442
GRB006,20231117_185904,0,0.00795025
GRB006,20231127_133022,0,0.0012815277
GRB006,20231128_141426,0,0.07674876
GRB006,20231130_135215,0,0.05463892
GRB006,20231201_113419,0,0.022804854
GRB006,20231208_131651,0,0.026842041
GRB006,20231211_134311,0,0.020913288
GRB006,20231212_130030,0,0.027021283
GRB006,20231215_112543,0,0.010949178
GRB006,20240109_144700,0,0.021902809
GRB006,20240110_135431,0,0.014260049
GRB006,20240110_162338,0,0.0052519436
GRB006,20240111_132629,0,0.061634995
GRB006,20240112_135518,0,0.11050926
GRB006,20240116_163044,0,0.014977422
GRB006,20240117_152600,0,0.10201448
GRB006,20240118_133404,0,0.034734163
GRB006,20240228_131618,0,0.02205831
GRB006,20240229_132420,0,0.21441895
GRB006,20240301_144326,0,0.24986787
GRB006,20240304_122108,0,0.011051786
GRB006,20240305_135034,0,0.17212158
GRB006,20240306_133858,0,0.035548627
GRB006,20240307_155109,0,0.15241662
GRB006,20240308_152123,0,0.22896235
GRB006,20240311_174310,0,0.050354335
GRB006,20240313_141512,0,0.036233276
GRB006,20240314_155950,0,0.21359141
GRB006,20240315_141855,0,0.5427137
GRB006,20240318_125437,0,0.33305058
GRB006,20240319_120110,0,0.30335647
GRB006,20240320_124113,0,0.21871412
GRB006,20240321_131913,0,0.18898714
GRB006,20240322_141501,0,0.32274315
GRB006,20240323_142335,0,0.56090695
GRB006,20240324_135731,0,0.3259948
GRB006,20240325_115618,0,0.47961047
GRB006,20240326_140658,0,0.55230594
GRB006,20240327_154217,0,0.46459204
GRB006,20240328_135035,0,0.6797041
GRB006,20240330_144712,0,0.5431447
GRB006,20240331_132807,0,0.64966685
GRB006,20240401_125219,0,0.41174036
GRB006,20240402_140646,0,0.37638816
GRB006,20240403_131227,0,0.60900646
GRB006,20240404_115105,0,0.44009864
GRB006,20240405_142239,0,0.6928166
GRB006,20240406_122407,0,0.5972339
GRB006,20240407_123014,0,0.10521293
GRB006,20240408_135314,0,0.05572829
GRB006,20240419_151040,0,0.009622509
GRB006,20240423_162658,0,0.30338788
GRB006,20240424_150511,0,0.18708935
GRB006,20240426_174044,0,0.035969485
GRB006,20240429_174359,0,0.5014382
GRB006,20240429_184502,0,0.44721064
GRB006,20240430_183206,0,0.495433
GRB006,20240501_195113,0,0.6715363
GRB006,20240502_161058,0,0.6175039
GRB006,20240503_163955,0,0.41392866
GRB006,20240506_171411,0,0.48347944
GRB006,20240507_180829,0,0.418976
GRB006,20240508_173227,0,0.6272112
GRB006,20240509_163637,0,0.5563425
GRB006,20240510_180411,0,0.60325843
GRB006,20240514_164132,0,0.04166282
GRB006,20240515_164745,0,0.4278547
GRB006,20240516_140225,0,0.24354196
GRB006,20240517_161352,0,0.52368516
GRB006,20240521_170727,0,0.7694317
GRB006,20240522_170215,0,0.6875968
GRB006,20240523_174600,0,0.6768114
GRB006,20240524_162152,0,0.71388596
GRB006,20240529_150103,0,0.46267188
GRB006,20240530_164626,0,0.45496777
GRB006,20240531_164435,0,0.60270905
GRB006,20240604_123410,0,0.69777644
GRB006,20240605_133531,0,0.704282
GRB006,20240606_141045,0,0.63022953
GRB006,20240607_133855,0,0.75419366
GRB006,20240610_133557,0,0.06183079
GRB006,20240611_134554,0,0.69483215
GRB006,20240612_142350,0,0.70580333
GRB006,20240613_140011,0,0.59199756
GRB006,20240614_132538,0,0.52368116
GRB006,20240617_123448,0,0.19112599
GRB006,20240620_124808,0,0.51752853
GRB006,20240621_143838,0,0.25255567
GRB006,20240624_112117,0,0.6410485
GRB006,20240625_130638,0,0.6353993
GRB006,20240626_113043,0,0.22214389
GRB006,20240627_141852,0,0.01806866
GRB006,20240628_130506,0,0.6691328
GRB006,20240701_112146,0,0.6934833
GRB006,20240702_134736,0,0.6731246
GRB006,20240710_124222,0,0.4741233
GRB006,20240711_134140,0,0.2950627
GRB006,20240715_134530,0,0.38409126
GRB006,20240716_151257,0,0.57194936
GRB006,20240717_154846,0,0.45483446
GRB006,20240718_150828,0,0.6244559
GRB006,20240722_142540,0,0.42866123
GRB006,20240723_142451,0,0.52511114
GRB006,20240724_144439,0,0.2776265
GRB006,20240725_153628,0,0.19744231
GRB006,20240729_155308,0,0.114459455
GRB006,20240730_142934,0,0.053163946
GRB006,20240801_164225,0,0.2138851
GRB006,20240805_142718,0,0.33145607
GRB006,20240806_141817,0,0.44834128
GRB006,20240807_120640,0,0.3704443
