trial_index_decile,state,posterior_occupancy
1,0,0.6707139
2,0,0.7838066
3,0,0.80857265
4,0,0.8154277
5,0,0.82428175
6,0,0.81697446
7,0,0.80666417
8,0,0.80398965
9,0,0.7641686
10,0,0.7279422
1,1,0.31669644
2,1,0.20859848
3,1,0.18374757
4,1,0.17273404
5,1,0.16858417
6,1,0.17518042
7,1,0.18624644
8,1,0.19008325
9,1,0.2222017
10,1,0.25899237
1,2,0.012589643
2,2,0.0075949198
3,2,0.007679805
4,2,0.011838201
5,2,0.0071341307
6,2,0.0078451075
7,2,0.0070893215
8,2,0.0059270863
9,2,0.013629708
10,2,0.013065415
