subject_name,session_name,n_trials,n_datasets,n_valid,n_early_withdrawal,n_missing_choice,n_no_choice,n_missing_stimulus,n_missing_reward,n_boundary_valid,n_nonboundary_valid
GRB001,20230303_125015,224,1,174,38,0,12,0,0,44,130
GRB001,20230306_114944,189,1,116,58,0,15,0,0,35,81
GRB001,20230307_130204,187,1,114,66,0,7,0,0,46,68
GRB001,20230308_115416,260,1,157,78,0,25,0,0,57,100
GRB001,20230309_123829,279,1,147,128,0,4,0,0,54,93
GRB001,20230310_114829,254,1,133,121,0,0,0,0,46,87
GRB001,20230315_131151,178,1,89,86,0,3,0,0,29,60
GRB001,20230316_134753,264,1,117,147,0,0,0,0,38,79
GRB001,20230317_123750,292,1,150,142,0,0,0,0,52,98
GRB001,20230320_111400,143,1,4,33,0,106,0,0,2,2
GRB001,20230321_115528,244,1,10,111,0,123,0,0,5,5
GRB001,20230322_112302,195,1,184,7,0,4,0,0,61,123
GRB001,20230323_124026,267,1,211,13,0,43,0,0,34,177
GRB001,20230327_123042,258,1,202,55,0,1,0,0,28,174
GRB001,20230328_120308,218,1,157,55,0,6,0,0,20,137
GRB001,20230329_114239,392,1,225,104,0,63,0,0,34,191
GRB001,20230330_110400,483,1,225,242,0,16,0,0,49,176
GRB001,20230331_122551,444,1,170,274,0,0,0,0,25,145
GRB001,20230404_113354,255,1,94,161,0,0,0,0,14,80
GRB001,20230405_105528,345,1,152,192,0,1,0,0,28,124
GRB001,20230406_120747,426,1,217,208,0,1,0,0,42,175
GRB001,20230407_112623,471,1,199,272,0,0,0,0,42,157
GRB001,20230413_111441,210,1,96,112,0,2,0,0,16,80
GRB001,20230414_102543,297,1,148,144,0,5,0,0,33,115
GRB001,20230425_111444,214,1,117,79,0,18,0,0,24,93
GRB001,20230426_121501,260,1,150,105,0,5,0,0,33,117
GRB001,20230427_113439,318,1,195,121,0,2,0,0,42,153
GRB001,20230428_110335,321,1,184,137,0,0,0,0,5,179
GRB001,20230501_112742,229,1,89,128,0,12,0,0,0,89
GRB002,20230302_135530,297,1,179,110,0,8,0,0,0,179
GRB002,20230303_141524,416,1,246,165,0,5,0,0,87,159
GRB002,20230306_133242,17,1,9,8,0,0,0,0,4,5
GRB002,20230306_133658,286,1,157,122,0,7,0,0,50,107
GRB002,20230307_140810,293,1,159,134,0,0,0,0,45,114
GRB002,20230308_140257,391,1,211,175,0,5,0,0,73,138
GRB002,20230309_135316,500,1,316,180,0,4,0,0,109,207
GRB002,20230310_131052,408,1,230,176,0,2,0,0,69,161
GRB002,20230315_143449,193,1,96,97,0,0,0,0,22,74
GRB002,20230316_150831,237,1,161,76,0,0,0,0,41,120
GRB002,20230317_140603,253,1,161,90,0,2,0,0,39,122
GRB002,20230320_130238,209,1,98,111,0,0,0,0,19,79
GRB002,20230321_145527,368,1,216,152,0,0,0,0,50,166
GRB002,20230322_123319,316,1,187,129,0,0,0,0,45,142
GRB002,20230323_143900,389,1,254,135,0,0,0,0,38,216
GRB002,20230327_132323,266,1,149,117,0,0,0,0,10,139
GRB002,20230328_125037,286,1,185,100,0,1,0,0,22,163
GRB002,20230329_135629,342,1,238,104,0,0,0,0,38,200
GRB002,20230330_130405,371,1,240,131,0,0,0,0,27,213
GRB002,20230331_134650,373,1,250,123,0,0,0,0,40,210
GRB002,20230404_124208,257,1,135,122,0,0,0,0,23,112
GRB002,20230405_120828,430,1,226,204,0,0,0,0,35,191
GRB002,20230406_135136,396,1,228,168,0,0,0,0,32,196
GRB002,20230407_131053,380,1,251,129,0,0,0,0,42,209
GRB002,20230413_122526,202,1,118,84,0,0,0,0,21,97
GRB002,20230414_115410,273,1,187,85,0,1,0,0,24,163
GRB002,20230425_122449,212,1,163,25,0,24,0,0,16,147
GRB002,20230426_132100,343,1,185,154,0,4,0,0,34,151
GRB002,20230427_124638,373,1,228,140,0,5,0,0,22,206
GRB002,20230428_121502,374,1,218,151,0,5,0,0,29,189
GRB002,20230501_125544,299,1,123,174,0,2,0,0,0,123
GRB003,20230301_145527,386,1,242,142,0,2,0,0,0,242
GRB003,20230302_151421,405,1,298,97,0,10,0,0,91,207
GRB003,20230303_152421,460,1,298,158,0,4,0,0,107,191
GRB003,20230306_150924,280,1,138,125,0,17,0,0,46,92
GRB003,20230307_151335,503,1,291,208,0,4,0,0,79,212
GRB003,20230308_151723,593,1,320,273,0,0,0,0,95,225
GRB003,20230309_153713,473,1,228,245,0,0,0,0,76,152
GRB003,20230310_145155,432,1,243,189,0,0,0,0,74,169
GRB003,20230315_155811,177,1,68,103,0,6,0,0,13,55
GRB003,20230316_162956,221,1,120,80,0,21,0,0,26,94
GRB003,20230317_153453,296,1,207,85,0,4,0,0,40,167
GRB003,20230320_141125,438,1,228,209,0,1,0,0,56,172
GRB003,20230321_161300,347,1,207,139,0,1,0,0,38,169
GRB003,20230322_140951,432,1,291,133,0,8,0,0,41,250
GRB003,20230323_155533,463,1,263,199,0,1,0,0,34,229
GRB003,20230327_154243,347,1,125,220,0,2,0,0,17,108
GRB003,20230328_141901,305,1,158,135,0,12,0,0,23,135
GRB003,20230329_153742,272,1,153,115,0,4,0,0,27,126
GRB003,20230330_142611,404,1,223,174,0,7,0,0,42,181
GRB003,20230331_145559,374,1,197,176,0,1,0,0,29,168
GRB003,20230404_140710,329,1,140,184,0,5,0,0,13,127
GRB003,20230405_145731,425,1,175,249,0,1,0,0,24,151
GRB003,20230406_151551,507,1,229,278,0,0,0,0,42,187
GRB003,20230407_144449,537,1,258,279,0,0,0,0,37,221
GRB003,20230413_134811,226,1,76,150,0,0,0,0,8,68
GRB003,20230414_131018,337,1,160,177,0,0,0,0,17,143
GRB003,20230425_135510,262,1,139,122,0,1,0,0,24,115
GRB003,20230426_151556,270,1,141,129,0,0,0,0,18,123
GRB003,20230427_141807,373,1,183,190,0,0,0,0,29,154
GRB003,20230428_133335,270,1,133,137,0,0,0,0,1,132
GRB003,20230501_141611,255,1,159,96,0,0,0,0,0,159
GRB003,20230525_152900,309,1,135,172,0,2,0,0,0,135
GRB004,20230301_161438,313,1,136,155,0,22,0,0,0,136
GRB004,20230302_165551,426,1,255,156,0,15,0,0,84,171
GRB004,20230303_164038,467,1,250,214,0,3,0,0,85,165
GRB004,20230306_170339,378,1,168,210,0,0,0,0,50,118
GRB004,20230307_163720,397,1,191,206,0,0,0,0,62,129
GRB004,20230308_163955,532,1,244,288,0,0,0,0,81,163
GRB004,20230309_170109,467,1,204,260,0,3,0,0,69,135
GRB004,20230310_155943,387,1,215,149,0,23,0,0,74,141
GRB004,20230315_172517,145,1,68,77,0,0,0,0,14,54
GRB004,20230316_173918,194,1,122,72,0,0,0,0,31,91
GRB004,20230317_165721,346,1,218,126,0,2,0,0,39,179
GRB004,20230320_154255,352,1,193,157,0,2,0,0,43,150
GRB004,20230321_171955,468,1,275,193,0,0,0,0,51,224
GRB004,20230322_162037,590,1,324,265,0,1,0,0,65,259
GRB004,20230323_170409,498,1,233,263,0,2,0,0,36,197
GRB004,20230327_165939,322,1,152,168,0,2,0,0,20,132
GRB004,20230328_155536,373,1,180,191,0,2,0,0,18,162
GRB004,20230329_165628,356,1,165,188,0,3,0,0,23,142
GRB004,20230330_160628,553,1,268,283,0,2,0,0,38,230
GRB004,20230331_160627,399,1,181,218,0,0,0,0,23,158
GRB004,20230404_152426,409,1,144,265,0,0,0,0,30,114
GRB004,20230405_161537,374,1,177,197,0,0,0,0,24,153
GRB004,20230406_163609,447,1,274,173,0,0,0,0,48,226
GRB004,20230407_161708,480,1,256,224,0,0,0,0,28,228
GRB004,20230413_150143,303,1,164,138,0,1,0,0,31,133
GRB004,20230414_143447,412,1,262,150,0,0,0,0,34,228
GRB004,20230425_152059,284,1,136,148,0,0,0,0,19,117
GRB004,20230426_162229,270,1,143,127,0,0,0,0,24,119
GRB004,20230427_155048,353,1,241,112,0,0,0,0,36,205
GRB004,20230428_145228,352,1,183,169,0,0,0,0,34,149
GRB004,20230501_153650,314,1,229,76,0,9,0,0,0,229
GRB005,20230929_133434,216,1,105,111,0,0,0,0,0,105
GRB005,20231002_124544,233,1,119,114,0,0,0,0,0,119
GRB005,20231003_125914,243,1,121,122,0,0,0,0,0,121
GRB005,20231004_110009,227,1,111,116,0,0,0,0,0,111
GRB005,20231005_115016,346,1,174,172,0,0,0,0,0,174
GRB005,20231006_114037,388,1,185,203,0,0,0,0,0,185
GRB005,20231009_115120,273,1,146,126,0,1,0,0,0,146
GRB005,20231010_114911,258,1,136,122,0,0,0,0,0,136
GRB005,20231011_113957,220,1,119,100,0,1,0,0,0,119
GRB005,20231012_120320,264,1,127,137,0,0,0,0,0,127
GRB005,20231016_115548,190,1,75,115,0,0,0,0,0,75
GRB005,20231017_132110,249,1,119,130,0,0,0,0,0,119
GRB005,20231018_144235,193,1,101,92,0,0,0,0,0,101
GRB005,20231019_112149,227,1,117,108,0,2,0,0,0,117
GRB005,20231020_122052,273,1,104,167,0,2,0,0,0,104
GRB005,20231023_132105,207,1,85,122,0,0,0,0,0,85
GRB005,20231024_125219,204,1,88,116,0,0,0,0,0,88
GRB005,20231026_105820,273,1,123,150,0,0,0,0,0,123
GRB005,20231027_113419,189,1,93,96,0,0,0,0,0,93
GRB005,20231031_121620,120,1,81,38,0,1,0,0,0,81
GRB005,20231101_115456,235,1,125,110,0,0,0,0,0,125
GRB005,20231102_124206,266,1,131,134,0,1,0,0,0,131
GRB005,20231103_113632,290,1,150,137,0,3,0,0,0,150
GRB005,20231106_133341,224,1,116,108,0,0,0,0,0,116
GRB005,20231107_114255,220,1,109,110,0,1,0,0,0,109
GRB005,20231108_131049,194,1,106,88,0,0,0,0,0,106
GRB005,20231109_115653,260,1,121,138,0,1,0,0,0,121
GRB005,20231109_125452,113,1,45,68,0,0,0,0,0,45
GRB005,20231113_120407,147,1,56,91,0,0,0,0,0,56
GRB005,20231114_125730,164,1,77,87,0,0,0,0,0,77
GRB005,20231115_122110,199,1,118,80,0,1,0,0,0,118
GRB005,20231116_140208,261,1,151,110,0,0,0,0,0,151
GRB005,20231117_170210,319,1,183,136,0,0,0,0,0,183
GRB005,20231127_114744,60,1,27,33,0,0,0,0,0,27
GRB005,20231128_124340,181,1,86,95,0,0,0,0,0,86
GRB005,20231130_124448,193,1,117,75,0,1,0,0,0,117
GRB005,20231201_100738,244,1,156,86,0,2,0,0,0,156
GRB005,20231208_121128,246,1,145,101,0,0,0,0,0,145
GRB005,20231211_124230,146,1,80,66,0,0,0,0,0,80
GRB005,20231212_113614,222,1,139,83,0,0,0,0,0,139
GRB005,20231215_101327,159,1,66,93,0,0,0,0,0,66
GRB005,20240109_132843,212,1,142,70,0,0,0,0,0,142
GRB005,20240110_124236,225,1,88,137,0,0,0,0,0,88
GRB005,20240111_121306,190,1,87,103,0,0,0,0,0,87
GRB005,20240112_122103,273,1,133,140,0,0,0,0,0,133
GRB005,20240116_130655,328,1,201,127,0,0,0,0,0,201
GRB005,20240117_133851,243,1,131,112,0,0,0,0,0,131
GRB005,20240118_121724,256,1,167,89,0,0,0,0,0,167
GRB005,20240119_111500,386,1,250,136,0,0,0,0,0,250
GRB005,20240228_120637,263,1,188,72,0,3,0,0,0,188
GRB005,20240229_105941,290,1,203,85,0,2,0,0,0,203
GRB005,20240301_132041,296,1,212,83,0,1,0,0,0,212
GRB005,20240304_103041,341,1,225,107,0,9,0,0,0,225
GRB005,20240305_125025,193,1,128,62,0,3,0,0,0,128
GRB005,20240306_114201,427,1,333,89,0,5,0,0,0,333
GRB005,20240307_132834,408,1,282,125,0,1,0,0,0,282
GRB005,20240308_132201,348,1,262,81,0,5,0,0,0,262
GRB005,20240311_155338,293,1,209,84,0,0,0,0,0,209
GRB005,20240312_112349,246,1,186,60,0,0,0,0,0,186
GRB005,20240313_192141,219,1,170,49,0,0,0,0,0,170
GRB005,20240314_150444,218,1,148,70,0,0,0,0,0,148
GRB005,20240315_131546,135,1,75,60,0,0,0,0,0,75
GRB005,20240318_112428,161,1,103,58,0,0,0,0,0,103
GRB005,20240319_104439,258,1,140,118,0,0,0,0,0,140
GRB005,20240320_110746,260,1,161,99,0,0,0,0,0,161
GRB005,20240321_114319,319,1,195,124,0,0,0,0,0,195
GRB005,20240322_115625,486,1,419,47,0,20,0,0,0,419
GRB005,20240323_130708,340,1,277,47,0,16,0,0,0,277
GRB005,20240324_123215,403,1,306,92,0,5,0,0,0,306
GRB005,20240325_103312,336,1,259,74,0,3,0,0,0,259
GRB005,20240326_130651,482,1,384,96,0,2,0,0,0,384
GRB005,20240327_133618,376,1,193,174,0,9,0,0,0,193
GRB005,20240328_115638,430,1,180,111,0,139,0,0,0,180
GRB005,20240330_133036,296,1,147,114,0,35,0,0,0,147
GRB005,20240331_115853,424,1,226,125,0,73,0,0,0,226
GRB005,20240401_112940,450,1,280,105,0,65,0,0,0,280
GRB005,20240402_114600,619,1,339,163,0,117,0,0,0,339
GRB005,20240403_113942,389,1,213,128,0,48,0,0,0,213
GRB005,20240404_105658,362,1,268,91,0,3,0,0,0,268
GRB005,20240405_125821,414,1,226,163,0,25,0,0,0,226
GRB005,20240406_105421,424,1,269,134,0,21,0,0,0,269
GRB005,20240407_111053,324,1,179,114,0,31,0,0,0,179
GRB005,20240408_125038,337,1,247,84,0,6,0,0,0,247
GRB005,20240518_163158,606,1,365,241,0,0,0,0,0,365
GRB005,20240627_142727,168,1,128,38,0,2,0,0,0,128
GRB006,20230919_133340,250,1,94,156,0,0,0,0,0,94
GRB006,20230920_155219,307,1,120,187,0,0,0,0,0,120
GRB006,20230921_133636,304,1,134,170,0,0,0,0,0,134
GRB006,20230922_131609,333,1,154,179,0,0,0,0,0,154
GRB006,20230925_154539,206,1,70,134,0,2,0,0,0,70
GRB006,20230926_123033,350,1,146,203,0,1,0,0,0,146
GRB006,20230927_145701,439,1,179,260,0,0,0,0,0,179
GRB006,20230928_145546,450,1,234,216,0,0,0,0,0,234
GRB006,20230929_145546,453,1,198,255,0,0,0,0,0,198
GRB006,20231002_140748,442,1,150,292,0,0,0,0,0,150
GRB006,20231003_141126,463,1,218,245,0,0,0,0,0,218
GRB006,20231004_122636,441,1,231,210,0,0,0,0,0,231
GRB006,20231005_133120,449,1,230,219,0,0,0,0,0,230
GRB006,20231006_132453,590,1,287,302,0,1,0,0,0,287
GRB006,20231009_134122,436,1,223,212,0,1,0,0,0,223
GRB006,20231010_131131,395,1,174,219,0,2,0,0,0,174
GRB006,20231011_124016,494,1,216,275,0,3,0,0,0,216
GRB006,20231012_133025,429,1,178,251,0,0,0,0,0,178
GRB006,20231016_134002,205,1,81,124,0,0,0,0,0,81
GRB006,20231017_141854,416,1,172,244,0,0,0,0,0,172
GRB006,20231018_160206,416,1,163,253,0,0,0,0,0,163
GRB006,20231019_124131,322,1,173,149,0,0,0,0,0,173
GRB006,20231020_134744,318,1,147,171,0,0,0,0,0,147
GRB006,20231023_142912,132,1,36,96,0,0,0,0,0,36
GRB006,20231024_141355,227,1,75,152,0,0,0,0,0,75
GRB006,20231026_115451,173,1,68,105,0,0,0,0,0,68
GRB006,20231027_125224,253,1,100,153,0,0,0,0,0,100
GRB006,20231031_133131,122,1,24,98,0,0,0,0,0,24
GRB006,20231101_130616,395,1,139,256,0,0,0,0,0,139
