subject_name,n_sessions,n_sessions_with_valid,n_trials,n_valid,n_early_withdrawal,n_missing_choice,n_no_choice,n_missing_stimulus,n_missing_reward,n_boundary_valid,n_nonboundary_valid,meets_trial_gate,meets_session_gate,feasible_for_k_comparison
GRB006,175,167,70926,37751,29028,0,383,3764,0,1912,35839,True,True,True
GRB007,101,101,43669,26711,16356,0,602,0,0,0,26711,True,True,True
GRB037,95,95,39382,23102,15780,0,500,0,0,673,22429,True,True,True
GRB038,80,80,36758,20408,16037,0,313,0,0,696,19712,True,True,True
GRB036,96,96,31297,16450,13928,0,919,0,0,290,16160,True,True,True
GRB005,85,85,23590,13957,8967,0,666,0,0,0,13957,True,True,True
GRB046,44,44,25903,13562,12212,0,129,0,0,596,12966,True,True,True
GRB050,88,88,22941,12297,10577,0,67,0,0,442,11855,True,True,True
GRB027,33,33,19111,11857,7196,0,58,0,0,656,11201,True,True,True
GRB039,47,47,19167,10810,8022,0,335,0,0,312,10498,True,True,True
GRB041,53,53,22680,10388,11845,0,447,0,0,328,10060,True,True,True
GRB045,34,34,16933,9554,7259,0,120,0,0,475,9079,True,True,True
GRB026,37,37,16160,9119,6974,0,67,0,0,471,8648,True,True,True
GRB004,31,31,11961,6251,5618,0,92,0,0,1214,5037,True,True,True
GRB003,32,32,11708,6226,5368,0,114,0,0,1167,5059,True,True,True
GRB064,37,37,9233,5848,3344,0,41,0,0,379,5469,True,True,True
GRB002,31,31,9750,5804,3871,0,75,0,0,1106,4698,True,True,True
GRB058,56,56,10195,5662,4463,0,70,0,0,197,5465,True,True,True
GRB061,36,36,8881,4585,4275,0,21,0,0,320,4265,True,True,True
GRB047,21,21,8248,4258,3840,0,150,0,0,83,4175,True,True,True
GRB001,29,29,8117,4226,3417,0,474,0,0,938,3288,True,True,True
GRB051,33,33,8162,4178,3937,0,47,0,0,0,4178,True,True,True
GRB053,25,25,7652,3800,3691,0,161,0,0,0,3800,True,True,True
GRB054,35,35,8013,3794,4095,0,124,0,0,0,3794,True,True,True
GRB063,34,34,8206,3598,4580,0,28,0,0,39,3559,True,True,True
GRB055,32,32,7183,3575,3410,0,198,0,0,0,3575,True,True,True
GRB052,28,28,7608,3564,4029,0,15,0,0,0,3564,True,True,True
GRB056,29,29,6806,3372,3363,0,71,0,0,0,3372,True,True,True
GRB066,35,35,7916,3297,4578,0,41,0,0,0,3297,True,True,True
GRB067,33,33,8888,2940,5932,0,16,0,0,0,2940,False,True,False
GRB059,30,30,6164,2906,3205,0,53,0,0,126,2780,False,True,False
GRB060,25,25,6239,2794,3394,0,51,0,0,132,2662,False,True,False
GRB040,19,19,6122,2552,3441,0,129,0,0,0,2552,False,True,False
GRB057,21,21,4724,2416,2243,0,65,0,0,0,2416,False,True,False
GRB042,15,15,5695,2378,3207,0,110,0,0,0,2378,False,True,False
GRB018,10,10,3173,1688,1445,0,40,0,0,0,1688,False,True,False
GRB068,11,11,2840,1460,1348,0,32,0,0,0,1460,False,True,False
GRB070,11,11,1745,987,717,0,41,0,0,0,987,False,True,False
GRB065,10,10,2328,921,1394,0,13,0,0,0,921,False,True,False
GRB062,4,4,999,401,594,0,4,0,0,0,401,False,False,False
GRB069,2,2,593,322,254,0,17,0,0,0,322,False,False,False
GRB015,2,2,285,154,116,0,15,0,0,0,154,False,False,False
